video_id,title,published_at,view_count,like_count,comment_count,duration,tags
ojAAUQ81MpQ,"「ミスターカイト」 from スキマスイッチ TOUR 2024-2025 ""A museMentally"" #スキマスイッチ #SUKIMASWITCH",2025-08-13T12:04:10Z,20282,676,13,PT25S,[]
bzikbv7VVcU,【公式】#223 みんなの興味を惹きつけろ！『教えて、常田先生！』第2弾「スキマスイッチのこのヘンまでやってみよう」,2025-08-08T10:01:10Z,8224,293,41,PT23M,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima', 'うしおととら']"
iBJ4EoZWsXM,"「魔法がかかった日」 from スキマスイッチ TOUR 2024-2025 ""A museMentally"" #スキマスイッチ #SUKIMASWITCH",2025-08-07T10:32:45Z,41812,889,16,PT24S,[]
ne-KtWqzAgE,"「ゼログラ」 fromスキマスイッチ TOUR 2024-2025 ""A museMentally"" #スキマスイッチ #SUKIMASWITCH",2025-08-06T06:41:57Z,18336,660,15,PT30S,[]
Ji7ZGYsa16g,【公式】#222 スキマフェスで聞いたファンの皆さんからの質問に回答！＜第9弾＞「スキマスイッチのこのヘンまでやってみよう」,2025-08-01T10:00:37Z,8142,368,14,PT11M5S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima', '紫蘇']"
DxLW9K09oV0,【公式】#221 紫蘇の可能性を探ろう！(おかず＆おつまみ編)「スキマスイッチのこのヘンまでやってみよう」,2025-07-25T10:00:32Z,9226,363,24,PT13M16S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima', '紫蘇', 'しそ']"
Yt4r6030BZc,【公式】#220 紫蘇の可能性を探ろう！(おやつ編)「スキマスイッチのこのヘンまでやってみよう」,2025-07-18T10:21:32Z,16076,469,47,PT20M49S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima', 'ソフトバンク']"
ZwJ6A9WH3LM,【公式】#219 京都ロケに行ってみよう！(東映太秦映画村／車折神社)「スキマスイッチのこのヘンまでやってみよう」,2025-07-11T10:01:04Z,13509,566,69,PT23M36S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima', 'ソフトバンク']"
wYXvNCXpDgM,【公式】#218 フェスの裏話！（ごぶごぶフェス2025編）「スキマスイッチのこのヘンまでやってみよう」,2025-07-04T10:01:41Z,11867,471,23,PT11M39S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima', 'ソフトバンク']"
KT7F30grUo8,【公式】#217 フェスの裏話！（天津編）「スキマスイッチのこのヘンまでやってみよう」,2025-06-27T10:00:38Z,9509,433,20,PT11M47S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima']"
1vcd3X6w9Ho,【公式】#216 全国Tour 2024-2025 “A museMentally”を振り返ろう！ ＜後編＞「スキマスイッチのこのヘンまでやってみよう」,2025-06-20T10:00:04Z,11566,447,45,PT19M5S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima']"
bkPkrsGZf10,【公式】#215 全国Tour 2024-2025 “A museMentally”を振り返ろう！ ＜前編＞「スキマスイッチのこのヘンまでやってみよう」,2025-06-13T11:01:09Z,13477,564,57,PT24M37S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima']"
WB_dtXjcjao,LIVE Blu-ray『スキマフェス』Behind the Scenes ダイジェスト,2025-06-10T08:14:33Z,7354,339,9,PT3M1S,[]
_pFi7dZFvGU,【公式】#214 スキマフェスで聞いたファンの皆さんからの質問に回答！＜第8弾＞「スキマスイッチのこのヘンまでやってみよう」,2025-06-06T10:01:03Z,8465,393,15,PT10M1S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima']"
NWZcDPF4Z_s,LIVE Blu-ray『スキマフェス』 コラボレーションパート ダイジェスト,2025-06-04T08:00:24Z,14069,453,11,PT2M4S,[]
KteauLq1tOA,【公式】#213  スキマフェスで聞いたファンの皆さんからの質問に回答！＜第7弾＞「スキマスイッチのこのヘンまでやってみよう」,2025-05-30T10:00:38Z,8866,391,64,PT10M27S,"['スキマスイッチ', 'SUKIMASWITCH', 'スキマ', '大橋卓弥', '大橋', '常田真太郎', '常田', '奏', '全力少年', 'ボクノート', 'ガラナ', '吠えろ！', 'J-POP', 'ユニット', 'コブクロ', 'いきものがかり', '奥田民生', '鍵盤', 'アフロ', '杏子', '山崎まさよし', 'COIL', 'あらきゆうこ', '元ちとせ', '長澤知之', '秦基博', 'さかいゆう', '浜端ヨウヘイ', '松室政哉', '田鹿ゆういち', '佐藤洋介', '忘れらんねえよ', '竹原ピストル', 'NakamuraEmi', 'リーガルリリー', 'KYOKO', 'YAMAZAKI MASAYOSHI', 'ARAKI YUKO', 'HAJIME CHITOSE', 'NAGASAWA TOMOYUKI', 'HATA MOTOHIRO', 'SAKAI YU', 'HAMABATA YOHEI', 'MATSUMURO SEIYA', 'SATO YOSUKE', 'WASURERANNEYO', 'TAKEHARA PISTOL', 'REGALLILY', 'Augusta', 'オーガスタ', 'RADWIMPS', 'official髭男dism', 'ヒゲダン', 'sumika', '米津玄師', '菅田将暉', 'スキマフェス', 'おっさんずラブ', 'Lovin’ Song', 'sukima']"
IBFCCwE-StM,2025.5.28 #スキマスイッチ 『ショートショートフィルムフェスティバル & アジア2025』,2025-05-30T07:35:39Z,20992,914,25,PT59S,[]
ODD-6n_Yx3M,LIVE Blu-ray『スキマフェス』 スキマスイッチDAY2 ダイジェスト,2025-05-28T08:00:33Z,11729,474,24,PT1M47S,[]
